Route,admin,edit,org_auditor,rules_admin,superadmin,systemadmin,view,Protected
POST NgAgileCentralDataLoaderRestController.getAgileCentralDefectAttributes,YES,,,,,,,YES
POST NgAgileCentralDataLoaderRestController.getAgileCentralDefectAttributes,YES,,,,,,,YES
POST NgAgileCentralDataLoaderRestController.getAgileCentralAttributeValues,YES,,,,,,,YES
POST NgAgileCentralDataLoaderRestController.getAgileCentralAttributeValues,YES,,,,,,,YES
GET NgBugtrackerCredentialsRestController.getLatestBugtrackerCredentials,YES,,,,,,,YES
GET NgBugtrackerCredentialsRestController.getCredentialsSets,YES,,,,,,,YES
PUT NgBugtrackerCredentialsRestController.editCredentials,YES,,,,,,,YES
PUT NgBugtrackerCredentialsRestController.updateCredentialSetName,YES,,,,,,,YES
DELETE NgBugtrackerCredentialsRestController.deleteBugtrackerCredentials,YES,,,,,,,YES
GET NgBugtrackersRestController.getBugtrackersApplications,YES,,,,,,,YES
GET NgBugtrackersRestController.getBugtrackersApplicationsFromApplications,,YES,,,,,,YES
GET NgBugtrackersRestController.getBugtrackersApplicationsByApplication,,YES,,,,,,YES
GET NgBugtrackersRestController.deleteBugtrackerApplication,YES,,,,,,,YES
GET NgBugtrackersRestController.getApplicationsWithBugtracker,,YES,,,,,,YES
GET NgGitHubBugtrackersRestController.getGitHubBugtracker,YES,,,,,,,YES
GET NgGitHubBugtrackersRestController.createGitHubBugtrackerIntegration,YES,,,,,,,YES
GET NgGitHubBugtrackersRestController.testGitHubBugtracker,YES,,,,,,,YES
GET NgGitHubBugtrackersRestController.testExistingGitHubBugtracker,YES,,,,,,,YES
GET NgGitHubBugtrackersRestController.editGitHubBugtracker,YES,,,,,,,YES
GET NgGitHubBugtrackersRestController.getGitHubBugtrackerForVulnerability,,YES,,,,,,YES
GET NgGitHubBugtrackersRestController.getGitHubBugtrackerForLibrary,,YES,,,,,,YES
GET NgGitHubBugtrackersRestController.refreshGitHubBugtrackerSettings,YES,,,,,,,YES
GET NgGitHubBugtrackersRestController.refreshExistingGitHubBugtrackerSettings,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraProjects,YES,,,,,,,YES
